Facility Name,Physical Address,City,Latitude,Longitude
Murehwa RDC-Dandara Clinic,Ward 2P.Bag 601,Murewa,,
Murehwa RDC-Dombwe Rural Health Center,Ward 19P.Bag 601,Murewa,,
Murehwa RDC-Kadzere Rural Health Center,Ward 15P.Bag 601,Murewa,,
Murehwa RDC-Kambarami Rural Health Center,Ward 10Kambarami Primary School,Murewa,,
Murehwa RDC-Macheke Rural Health Centre,Box 109Macheke,Murewa,,
Murehwa RDC-Murewa Polyclinic,Ward 30Stand 2468P.Bag 601,Murewa,,
Murehwa RDC-Ngwerume Clinic,Ward 3Ngwerume Primary School,Murewa,,
Murehwa RDC-Nyamutumbu Rural Health Center,Ward 11P.Bag 601,Murewa,,
Murehwa RDC-Parirenyatwa Rural Health Clinic,Ward 5P.Bag 601,Murewa,,
Murehwa RDC-Shambamuto Rural Health Center,Ward 26P.Bag 601,Murewa,,
Murehwa RDC-Virginia Clinic,Ward 22P.Bag 601,Murewa,,
Murehwa RDC-Waterloo Clinic,Ward 24P.Bag 601,Murewa,,
Murehwa RDC-Welcome Home(linden) Clinic,Ward 23Linden FarmP.Bag 601,Murewa,,
Murewa District Hospital,Murewa District HospitalMadachache Road,Murewa,,
Murewa Family Clinic - Taruvona,Stand 235Murewa Family Clinic Chigumadzi Complex,Murehwa,,
Murewa Family Clinic-Mungira,Stand 235Chigumadzi ComplexMurewa Centre,Murewha,,
Murewa RDC-Chitate Rural Health Center,Chitate KraalCIO Box 85,Murewa,,
Murewa RDC-Jekwa Rural Health Center,Jekwa Primary/Secondary SchoolP.Bag 613,Murewa,,
Murewa RDC-Kadenge Rural Health Center,Kadenge Business CenterBox 85,Murewa,,
Murewa RDC-Madamombe Rural Health Center,Madamombe KraalCIO Box 85,Murewa,,
Muriel Mine Clinic--Pan African Mining,Muriel MineMutorashanga,Banket,,
Murombedzi Surgery (Dr TMC Mudzingwa),2318 Murombedzi Growth Point,Zvimba,,
Murowa Diamonds,Mazvihwa Ward,Zvishavane,,
Musasa GBV Clinic,64Selous Avenue,Harare,,
Musiso Mission Hospital,ST Antony's Mission,Zaka,,
Musume Mission Hospital,Musume Mission HospitalP.Bag 315Mataga,Mberengwa,,
Musunda's PW Chambers - Citimed,South Medical Hospital MadzivanhangaZengeza,Chitungwiza,,
Mutala Trust,52Alpes RoadVainona,Harare,,
Mutambara Mission Hospital,Mutambara Mission CentreP.O. Box 90Nhedziwa,Chimanimani,,
Mutarazi Healthcare Clinic,571Watsomba,Mutasa,,
Mutare General Ophthalmic Theatre,1st FloorMutare Medical Centre123-125,Mutare,,
Mutare Haemodialysis Centre,953rd AveCnr 3rd/7th Street,Mutare,,
Mutare Medicare PVT Hospital,123H.Chitepo Street,Mutare,,
Mutare Netlife (PVT) LTD,123 - 125 Herbert Chitepo Street,Mutare,,
Mutare New Start Centre,81 Second Street,Mutare,,
Mutare New Start Centre Laboratory,"Stand No. 17, 81 - 2nd Street,",Mutare,,
Mutare Pharmacy,65 Herbert Chitepo Street,Mutare,,
Mutare Physiotherapy Clinic,128 Herbert Chitepo Street,Mutare,,
Mutare Polytechnic Clinic,Corner Vincent and Josiah Tongogara Street,Mutare,,
Mutare Provincial Hospital,19 Robert Mugabe,Mutare,,
Mutare Provincial Hospital Laboratory,19 Robert Mugabe Road,Mutare,,
Mutare RDC-Gutaurare Rural Health Center,P.O.Box 203,Mutare,,
Mutare RDC-Muromo Rural Health Center,P.Bag 7324,Mutare,,
Mutare RDC-Rupinda Rural Health Center,P.O.Box 918,Mutare,,
Mutare RDC-Sherukuru Rural Health Center,P.O.Box 388,Mutare,,
Mutare Red Cross Clinic,25George Silundika,Mutare,,
Mutawatawa District Hospital,Mutawatawa Growth Point,Mutawatawa,,
Mutawatawa Pharmacy,"Stand 20, Maramba Business Centre",Mutawatawa,,
Mutawatawa RDC-Kafura Rural Health Centre,Kafura Centre,Mutawatawa,,
Mutero Mission Hospital,Mutero Mission,Gutu,,
Mutoko Medical Centre,Stand 5726Chinzanga Township,Mutoko,,
Mutoko RDC-Charehwa Rural Health Centre,P.O.Box 507,Mutoko,,
Mutoko RDC-Hoyuyu i Rural Health Centre,Hoyuyu i Resettlement AreaC/O BOX 59,Mutoko,,
Mutoko RDC-Hoyuyu ii Rural Health Centre,Hoyuyu ii Resettlement AreaC/O BOX 59,Mutoko,,
Mutoko RDC-Kapondoro Rural Health Centre,Kapondoro Rural Health CentreC/O BOX 59,Mutoko,,
Mutoko RDC-Katsukunya Rural Health Centre,Katsukunya KraalC/O BOX 59,Mutoko,,
Mutoko RDC-Kawere Rural Health Centre,Kawere KraalC/O BOX 59,Mutoko,,
Mutoko RDC-Kowo Rural Health Centre,P.O.Box 507,Mutoko,,
Mutoko RDC-Kushinga Rural Health Centre,Kushinga Rural Health CentreC/O BOX 59,Mutoko,,
Mutoko RDC-Mushimbo Rural Health Centre,Mushimbo KraalC/O BOX 59,Mutoko,,
Mutoko RDC-Nyadiri Rural Health Centre,Nyadiri Resettlement AreaC/O BOX 59,Mutoko,,
Mutoko RDC-Nyamuzizi Rural Health Centre,Nyamuzizi KraalC/O Mutoko HospitalBotsa,Mutoko,,
Mutoko RDC-Nzira Rural Health Centre,Nzira VillageC/O BOX 59,Mutoko,,
Mutora Pharmacy- Nembudziya,19 Jimayi ComplexGokwe Nembudziya,Gokwe,,
Mutora Pharmacy Private Limited,19 Jimaya CompleNembudziya,Gokwe,,
Mutorashanga Rural Hospital,Mutorashanga Rural HospitalP.O.Box 99,Mutorashanga,,
Mutore D Surgery,No. 165 Fife Avenue,Harare,,
Mutseyekwa B N Surgery,654th Street Avenue,Harare,,
Mutual Park Medical Centre,20710Budiriro Cabs,Harare,,
Muvonde Mission Hospital,Muvonde Mission Hospital Driefontein,Mvuma,,
Muzarabani Pharmacy,208Muzarabani Growth Point,Muzarabani,,
Muzarabani RDC-Chadereka Rural Health Centre,Chadereka Ward Muzarabani Growth Point,Muzarabani,,
Muzarabani RDC-Chawarura Rural Health Centre,Chawarura Ward Muzarabani Growth Point,Muzarabani,,
Muzarabani RDC-Hoya Rural Health Centre,Hoya Ward Muzarabani Growth Point,Muzarabani,,
Muzarabani RDC-Machaya Rural Health Centre,Muzarabani Growth Point,Muzarabani,,
Muzarabani RDC-Muzarabani Rural Health Centre,Muzarabani Growth Point,Muzarabani,,
Mvuma District Hospital,P.O.Box 8,Mvuma,,
Mvuma Medical Centre,LDV 25Blinkwater Road,Mvuma,,
Mvurwi District Hospital,Along Harare-Mvurwi Road,Mvurwi,,
Mvurwi Medical Centre,1067 Handsworth Avenue,Mvurwi,,
Mvurwi Medical Centre - Ultrasound Unit,Stand 1067Handsworth Avenue,Mvurwi,,
Mvurwi Polyclinic,Stand 624Independence Way,Mvurwi,,
Mvurwi Polyclinic Dental Surgery,624 Independence Way,Mvurwi,,
Mvurwi Scan Centre,Stand LB00050Clayton Complex,Mvurwi,,
Mwale G Surgery,302 Halyet House9th Street,Bulawayo,,
Mwami Rural Hospital,Mwami Rural Hospital,Karoi,,
Mwapona Surgery Clinic,1 Storford ParadeMabelreign,Harare,,
Mwazha Surgery,114 Nelson Mandela Cnr Fifth Street,Harare,,
Mwenezana Estate Clinic,Mwenezana EstateMwenezi DistrictMwenezi,Masvingo,,
Mwenezi RDC-Manyuchi Cliic,Ward 4Mwenezi District,Masvingo,,
Mwenezi RDC-Marinda Clinic,Ward 8Mwenezi District,Masvingo,,
Mwenezi RDC-Mazetese Clinic,Ward 10Mwenezi District,Masvingo,,
Mwenezi RDC-Mlelezi Clinic,Ward 11Mwenezi District,Masvingo,,
Mwenezi RDC-Mushava Clinic,Ward 7Mwenezi District,Masvingo,,
Mwenezi RDC-Mwenezi Clinic,Ward 16Mwenezi,Masvingo,,
Mwenezi Surgery,Stand 519 NeshuroMwenezi,Masvingo,,
My Health Wellness Clinic Dzivarasekwa,Stand 392Nehanda CooperativeDzivarasekwa Extension,Harare,,
Mzari Polyclinic,3667Mzari Extension,Chinhoyi,,
Mzilikazi Clinic,James Poyah RoadOff Luveve Road,Bulawayo,,
Mzingwane High School Clinic,Mzingwane High School Clinic,Bulawayo,,
N & M Pharmacies,7217 Unit J Shops,Chitungwiza,,
N. R. C Healthcare Clinic - Chipinge,Stand No. 934/5 AgribankChibuwe,Chipinge,,
Narcius T Dzvanga Surgery,Flat 2 Haylet Cnr 9th/j Tongogara Street,Bulawayo,,
Natalie Nyikadzino Biokinetics,170 The ChaseGroombridge,Harare,,
Nati Medical Centre,Mahachi VillageChecheche,Chipinge,,
National Blood Service Zimbabwe,27 George Silundika Street,Mutare,,
National Blood Services Zimbabwe,United Bulawayo Hospital Grounds,Bulawayo,,
National Blood Services Zimbabwe,Gweru ShowgroundsMvuma Road,Gweru,,
National Blood Services Zimbabwe,53 Mazowe StreetBelgravia,Harare,,
National Blood Services Zimbabwe,Stand 18862 Office 206 AJoina City,Harare,,
National Blood Services Zimbabwe,Cnr Hayles Street / Emslie Close,Masvingo,,
National Care Link Surgery,196 Samora Machel Avenue Belvedere,Harare,,
National Foods Limited Industrial Clinic,10 Stirling Road Workington,Harare,,
National Foods Limited Industrial Clinic-Bulawayo,13615Steeldarl Road,Bulawayo,,
National Microbiology Reference Laboratory,2nd FloorSally Mugabe Hospital,Harare,,
National Pathology Services,46 Hofmeyer Street,Masvingo,,
National Pathology Services,Suite 13 - Fife Avenue Medical CentreFife Avenue / Fifth Street,Harare,,
National TB Reference Lab - NTBRL,Mpilo Hospital GroundsCorner Old Victoria Falls Road and Vera Rd,Bulawayo,,
National University of Science & Technology,Corner Cecil Avenue / Gwanda Road,Bulawayo,,
Nduku Surgery,Avenues Clinic5 Cherlyn CourtCnr Baines/Mazowe Street,Harare,,
Nectacare Health Centre - Zvishavane,Stand No. 1016AHighlands,Zvishavane,,
Nectacare Healthcare Chitepo,217 Herbert Chitepo Avenue,Harare,,
Nectacare Pharmacy,217 Herbert Chitepo Avenue,Harare,,
Nectacare Pharmacy,17 Buchwa Road,Zvishavane,,
Nectacare Pharmacy,3423Turf,Ngezi,,
Nectacare Pharmacy - Bulawayo,55 George Silundika 4th / 5th Avenue,Bulawayo,,
Nectacare Pharmacy - Mutare,85 H. Chitepo Street,Mutare,,
Nectacare Pharmacy Chegutu,Stand number 50041 Durawall,Chegutu,,
Nectacare Physiotherapy & Rehab Centre,Shabanie Mines Hospital,Zvishavane,,
Nectacare Private LTD Ambulance,Shabanie Mine HospitalBox 94,Zvishavane,,
Nectacare Shabani Mashaba Mine Hospital,Shabani Mine Hospital,Zvishavane,,
Nectarcare Healthcare Centre-Ngezi,5503Turf,Ngezi,,
Nedvest Laboratory,1170Turf,Ngezi,,
Nedvest Pharmacy,2572,Ngezi,,
Nedziwa Mission Clinic,Nedziwa Business Centre,Nyazura,,
Neighborcare Drive-Thru Pharmacy,6460Southlea Park,Harare,,
Neighborhood Clinic-Domboshava,Neighbourhood ClinicZimbiru Township,Domboshava,,
Neighbourcare Pharmacy,Stand No. 6421 Southlea Park,Harare,,
Nelank Dental Services,11592 Kamunhu Shopping CentreMabvuku,Harare,,
Nelank Dental Services,"82a Tafara Way, Kamhunhu Shopping Centre",Harare,,
Nelank Dental Services,105 Nelson Mandela,Harare,,
Nemangwe Surgery,Sasame Business CentreNemangwe,Gokwe,,
Neo Dental Clinic,Number 212 Banket,Banket,,
Neocare Baby Hospital,155 King George RoadAvondale,Harare,,
Neomed Pharmaceuticals,No. 129A G. SilundikaBtwn 13th & 14 th Avenue,Bulawayo,,
Neomed Pharmaceuticals,066-067 Longcheng PlazaBelvedere,Harare,,
Neptune Medical Clinic,stand 3342T-box ComplexNyamhunga,Kariba,,
Neshuro Surgery,Stand 144 Neshuro Business Centre Mwenezi,Masvingo,,
Netcare Medical Centre,19088Damofalls Park,Ruwa,,
Netcare Medical Laboratory-Ruwa,19613Damafalls Phase 2,Ruwa,,
Netcare Pharmacy,19088Damofalls 2,Ruwa,,
Netcare Shabani Mine Hospital Laboratory,Netcare Shabani Mine HospitalBox 94Buchwa Road,Zvishavane,,
Netfund (PVT) LTD T/A Atlas Clinical Laboratories,"Number 8Elseworth Road, BelgraviaFirst Floor",Harare,,
Netfund (PVT) LTS T/A Atlas Clinical Laboratories,Stand Number 238 Mapereke Complex,Murewa,,
Nethealth Alliance Private Limited T/A Med 24hr,Immunogene Labs 434 Chimombe Road,Harare,,
Netlife Pharmacy,123-5H.Chitepo Street,Mutare,,
Netstar Ambulance Service,Galen HouseCnr 9th & Josiah Tongogara,Bulawayo,,
Netstar Ambulance Service - Harare,10Mazoe Street Avenues,Harare,,
Neurosurgery Clinic- Dr S. Mapfumo,50 Harvey Brown AvenueMilton Park,Harare,,
Nevada Pharmacare,33301st StreetHatcliffe,Harare,,
New Africa Health Services,17 De Jager Avenue,Marondera,,
New Africa House New Start Centre,1st Floor40 Kwame Nkurumah Ave,Harare,,
New Avakash International,Unit 1 Stand 18378Mukuvisi Industrial Estate,Harare,,
New Avakash International,Number 12 Williams Way,Harare,,
New Chivhu Pharmacy,380 Deklerk Street,Chivhu,,
New Cranborne Maternity Clinic,Stand Number 17732New Craneborne,Harare,,
New Family Medical Centre,436 Cloete Street,Chivhu,,
New Health Hubb Pharmacy,5744 Mereki Shopping Centre,Harare,,
New Highfield Pharmacy,4100Machipisa Highfield,Harare,,
New Hope Pharmacy,"19157 Zengeza 4, Pagomba",Chitungwiza,,
New Horizon Pharmacy,1685 Chesvingo Business Centre,Masvingo,,
New Horizon Pharmacy,34 Hofmeyer Street,Masvingo,,
New Horizon Pharmacy City,303 Hughes Street,Masvingo,,
New Horizon Pharmacy - Marimba,9686 Mufakose Township,Harare,,
New Horizon Pharmacy - Mufakose,Stand 33 Area GMufakose,Harare,,
New Horizon Pharmacy-Zvishavane,82 R.G Mugabe Way,Zvishavane,,
New Leaf Occupational Therapy Practice,Number 1 Ross AvenueBelgravia,Harare,,
New Life Family Clinic,371Agribank Building,Mutawatawa,,
New Life Surgery,1 Lundi StreetMbare,Harare,,
New Makoni Clinic,Stand 22835 Unit G Seke,Chitungwiza,,
New Marimba Family Clinic,648 Gairezi Road New Marimba,Harare,,
New Marimba Pharmacy,648 Gairezi Road Marimba Park,Harare,,
New Marlborough Hospital Dental Care,1751Mutoko RoadNew Marlborough,Harare,,
New Marlborough Private Hospital,1751 Mutoko Road,Harare,,
New Marlborough Private Hospital Dental Care Unit,1751 Mutoko Road,Harare,,
New Marlborough Private Hospital-Rehab Unit,1751 Mutoko RoadNew Marlborough,Harare,,
New Mbizo Pharmacy,Stand No. 8481 Mbizo II,Kwekwe,,
New Mvurwi Pharmacy,Shop Number 5Hotspot Complex,Mvurwi,,
New Platinum Pharmacy,Stand 8785 St Mary's,Chitungwiza,,
New Sadza Pharmacy,64 Sadza Growth Point,Wedza,,
Newday Pharmacy,"1088 Zijena Building, Gokwe Town Centre",Gokwe,,
Newday Pharmacy-Kadoma,12Mukwati Street,Kadoma,,
Newlands Clinic - Women's Health Centre,4 WALMER DRIVENewlands,Harare,,
Newlands Clinic Laboratory,56Enterprise RoadNewlands,Harare,,
Newlands Family Surgery,Shop 11 Sanlam CentreNewlands,Harare,,
Newlands Wellness Pharmacy,,Harare,,
Newlands Wellness Pharmacy,1 Walmer DriveNewlands,Harare,,
Newlife Surgery,2681 USAID M- Extension,Chivhu,,
Newline Pharmacy,122 Mbuya Nehanda Street,Harare,,
Newstart Dental Practice,Number 3 Amalinda Road,Harare,,
Newstart Family Wellness Clinic,3 Amalinda Road,Harare,,
Nexmed Pharmacy,88Chinzanga Complex,Mutoko,,
Nexus Pharmacy- Masvingo,3411 Muchakata Close Rujeko,Masvingo,,
Nezmed Pharmacy,4168 Ascot Extention4168 Ascot Extention,Gweru,,
NGC Dental Laboratory,Flat 5 & 6 masasa Court5 First Street,Marondera,,
Ngezi Biotech Clinic,Suite 7Old Mutual Complex,Ngezi,,
Ngezi Clinic,Ngezi Township,Kadoma,,
Ngezi Medical Centre,Stand No. 1067Turf,Ngezi,,
Ngezi Medicity Dental Clnic,Stand No. 5513/15Opposite OK Building Turf,Mhondoro Ngezi,,
Ngezi Medicity Hospital,"Stand Number 5513/15, Turf Business Centre",Mhondoro Ngezi,,
Ngezi Mediclinic Maternity,Stand Number 5513/15 Turf Business Centre,Ngezi,,
Ngezi Physiotherapy Clinic,Stand No 5094Health PlazaTurf,Ngezi,,
Ngezi Trauma Centre,Zimplats Mining DivisionMhondoro,Ngezi,,
Ngundu Intercare Surgery,Stand 502Ngundu Business Centre,Ngundu,,
Ngundu Surgery,Ngundu Business Centre Ngundu,Chivi,,
Ngwende G.W. Surgery,60 Baines AvenueMedical Chambers,Harare,,
Nharira Pharmacy,200A Nharira Business Centre,Chivhu,,
Nharira Rural Hospital,P.O.Box 194,Chivhu,,
Nhedziwa Surgery,Stand 48Nhedziwa Business CentreNhedziwa,Chimanimani,,
Nhowe Mission Hospital,Nhowe Mission KOS Farm,Macheke,,
Nicoz Medical Practice,No. 1 Nicoz HouseCnr 8th Ave and Fort Street,Bulawayo,,
NITT Pharmacy,720Nyika Growth Point,Masvingo,,
Njube Clinic - Byo City,Main RoadNjube Township,Bulawayo,,
Nkayi Pharmacy,394 Nkayi Centre,Nkayi,,
Nkayi RDC-Dakamela Rural Health Center,Dakamela Box 2Nkayi,Gokwe,,
Nkayi RDC-Ngwaladi RHC,Box 2Nkayi,Bulawayo,,
Nkayi RDC-Sivalo Rural Health Center,Box 2Nkayi,Gokwe,,
Nkayi RDC-Zenka Rural Health Center,Box 2Nkayi,Gokwe,,
Nketa Clinic,"Stand Number 3808, Nketa 7, Nketa Township",Bulawayo,,
Nketa Pharmacy,1120,Bulawayo,,
Nkulumane 10 Surgery,13694Nkulumane 10,Bulawayo,,
Nkulumane 4 Surgery,Nineth Shopping Centre Ndaba RoadNkulumane 4,Bulawayo,,
Nkulumane Clinic,"Nkulumane Drive, Nkulumane Suburb",Bulawayo,,
Nkulumane Pharmacy,5603Nkulumane,Bulawayo,,
NMC 24,1911NSSA Area,Bindura,,
NMC 24,Stand No. 1911 NSSA,Bindura,,
NMC Clinical Laboratories,Northern Medicals Chambers1911 NSSA Area,Bindura,,
No.1 Pharmacy,"Former BHT Superette, Opp No.1 ClinicLwendulu",Hwange,,
Nocte Family Medical Centre,672 Chanetsa Street,Karoi,,
Nohoreka Medical Clinic,Musami Business Centre,Murewa,,
Nombulelo Thembekile Crocco Clinical Psychologist,"2nd Floor Stanbic Bank, 8th Avenue and JMN Nkomo Street",Bulawayo,,
Nonotida Identity Consultants,17785Watermeyer DriveBelvedere,Harare,,
Noraz Surgical Clinic,4 Harding Street,Masvingo,,
North 24 Diagnostic and Imaging Centre,Stand Number 19755 Unit D Seke,Chitungwiza,,
North Haven Medical Centre,6655New Medium Density,Beitbridge,,
North Star Clinic,55 George Silundika Street,Bulawayo,,
Northen Medical Chambers Dental Clinic,1911 NSSA Area,Bindura,,
Northen Suburbs,Panton Street,Bulawayo,,
Northend Pharmacy,2644 Judd Ave NorthendShop 1 Chandos Place,Bulawayo,,
Northend Surgery,Shop 3 Chandos PlaceNorthend,Bulawayo,,
Northern Eye Centre,Stand 1911 NSSA Area,Bindura,,
Northern Medical Chambers NMC,1911 NSSA Complex Area,Bindura,,
Northern Optician T/A Optimark in the Village,96 Sam Levy VillageBorrowdale,Harare,,
Northern Suburbs Clinic,Panton StreetNorthend,Bulawayo,,
Northlynne Maternity Clinic,25 Longhurst Road,Bulawayo,,
Northmed Pharmacy,162LavenhamBluffhill,Harare,,
Northview Parktown Surgery,"316, 6th StreetCnr Milford RoadParktown Shopping Centre",Harare,,
Northway Pharmacy,Stand 59Lomagundi RoadBanket,Chinhoyi,,
Norton Dental,Shop 5CIPF COMPLEX,Norton,,
Norton Dental,605 CornMarket Crescent,Norton,,
Norton Pharmacy,2014 Katanga,Norton,,
Norton Physiotherapy Clinic,3403Shinga BuildingCalfa,Norton,,
Norton Private Clinic,605 Cornmarket Cresent,Norton,,
NRC Healthcare Foursquare Surgery,6/834 Gaza Township,Chipinge,,
NRZ George Silundika Clinic,14th AvenueLobengula Extension,Bulawayo,,
NRZ Kenneth Kaunda Avenue Clinic,Kenneth Kaunda Avenue,Harare,,
NRZ Mutare Workshop Clinic,Mutare Mechanical Workshop,Mutare,,
NRZ Rugare Clinic,Rugare Township,Harare,,
NSSA Medical Services Clinic,NSSA HouseCorner Selous Avenue & Sam Nujoma,Harare,,
NSSA Mobile Clinic,56 Glen Eagles RoadWillowvale,Harare,,
NSSA Occupational Health Surveillance Clinic,56 Gleneagles RoadWillowvale,Harare,,
NSSA Rehabilitation Centre,321AVera RoadMpilo Mzilikazi,Bulawayo,,
NSSA Staff and Pensioners Clinic,61Bainnes AvenueColbain Heights,Harare,,
Ntumuta Pharmacy,3952 Mufaro Shopping Centre Sakubva,Mutare,,
Nu Alpha Epaton Pharmacy,5158Corner Store Overspill Epworth,Harare,,
Nu Alpha Pharmacy,8788 Huruyadzo St Mary's,Chitungwiza,,
Nu Centre Pharmacy,10799Gokwe Centre,Gokwe,,
Nu Fife Avenue Pharmacy,145 Fife Avenue,Harare,,
Nu Karoi Pharmacy,Stand No. 1Chikangwe Township,Karoi,,
Nu Karoi Pharmacy,118A Bougainville Road,Karoi,,
Nu Karoi Pharmacy,Stand 6 Chikangwe Township,Karoi,,
Nu Makoni Pharmacy,Shop 1 Seke North MallSekeMakoni Shopping Mall,Chitungwiza,,
Nu Mutoko Pharmacy,413 Burgerskin ComplexOliver Newton Road,Mutoko,,
NU Tafara Pharmacy,Shop 2Marongwe PlazaKamunhu Shops,Harare,,
NU-Alpha Epaton Pharmacy,Stand 5158 Cornerstone EpworthOverspill,Harare,,
Nuchem Pharmacy,22 Lower HampdenNew Marlborough,Harare,,
Nulink Pharmacy,Stand 5699 Zimre Park,Harare,,
Nyabira Pharmacy,Shop 488 NY488,Nyabira,,
Nyabira Pharmacy,NY488 NyabiraZvimba Rural District,Nyabira,,
Nyadire Mission Hospital,Nyadire Mission HospitalWard 25box 30,Mutoko,,
Nyamande Clinic,Nyamande Business Centre,Masvingo,,
Nyameni Clinic,Marondera MunipalityBox 261,Marondera,,
Nyamhuka Surgery,Stand Number 132 Nyamhuka 1,Nyanga,,
Nyaminyami RDC-Chalala RHC,Chalala Growth PointWard 1,Kariba,,
Nyaminyami RDC-Kasvisva Clinic,Kasvisva ClinicWard 8,Kariba,,
Nyaminyami RDC-Msambakaruma Clinic,Msambakarma ClinicWard 9,Kariba,,
Nyamutumbu Surgery,105 Nelson Mandela,Harare,,
Nyamutumbu Surgery,"82a Tafara Way, Kamhunhu Shopping Centre",Harare,,
Nyanga Healthcare Clinic,991Nyangani Park,Nyanga,,
Nyanga RDC-Chatindo Rural Health Centre,Ward 11Chatindo Village,Nyanga,,
Nyanga RDC-Chiwarira Rural Health Center,Ward 5Nyanga North,Nyanga,,
Nyanga RDC-Dombo Rural Health Centre,P.Bag 2010,Nyanga,,
Nyanga RDC-Fombe Rural Health Centre,Fombe ClinicBox 7,Nyanga,,
Nyanga RDC-Gairezi Rural Health Center,Gairezi Rural Health CenterP.Bag 2004,Nyanga,,
Nyanga RDC-Gotekote Rural Health Centre,P.Bag 2024,Nyanga,,
Nyanga RDC-Kambudzi Rural Health Centre,111 Rochdale,Nyanga,,
Nyanga RDC-Matize Rural Health Center,Matize Rural Health CenterBox 109,Nyanga,,
Nyanga RDC-Mobile Clinic,P.O.Box 7Nyanga North,Nyanga,,
Nyanga RDC-Mukunza Rural Health Centre,Ward 3Mukunza Village,Nyanga,,
Nyanga RDC-Nyadowa Rural Health Center,Nyadowa Rural Health CenterBox 7,Nyanga,,
Nyanga RDC-Nyafaru Rural Health Center,Nyafaru ClinicBox 7,Nyanga,,
Nyanga RDC-Nyajezi Rural Health Centre,111Rochdale,Nyanga,,
Nyanga RDC-Nyamaropa Rural Health Centre,Nyaruwaka Business CentreWard 12,Nyanga,,
Nyanga RDC-Nyarumvurwe Rural Health Center,Nyarumvurwe Rural Health CenterP.Bag 2062,Nyanga,,
Nyanga RDC-Nyatate Rural Health Centre,Ward 17Nyanga South,Nyanga,,
Nyanga RDC-Nyautare Rural Health Centre,P.O.Box 157,Nyanga,,
Nyanga RDC-Ruchera Rural Health Centre,P.Bag 8081,Nyanga,,
Nyanga RDC-Sabvure Clinic,Sabvure ClinicBox 7,Nyanga,,
Nyanga RDC-Tombo Rural Health Center,Tombo Rural Health CenterBox 7,Nyanga,,
Nyangombe Clinic,Nyanga District Ward 7,Mutare,,
Nyanyadzi Family Surgery,Mugomo Complex Rufaro Business CentreNyanyadzi,Chimanimani,,
Nyanyadzi Rural Hospital,Nyanyadzi Rural HospitalP.O.Box 51,Chimanimani,,
Nyatsambo Surgery,24 Roland Square Milton Park,Harare,,
Nyazura Surgery,Stand Number 1480 Nyazura Business Centre,Nyazura,,
Nyazura Zimstart Villages Telehealth Kiosk,Nyazura Post Office,Nyazura,,
Nzvimbo Medical Centre,253 Kamhuka Building Nzvimbo Growth Point,Glendale,,
Nzvimbo Pharmacy,Stand Number 254Nzvimbo Growth PointChiweshe,Chiweshe,,
Oaklab Pathology Laboratory,"123 Herbert Chitepo Cnr Seventh, Suite 16, 3rd Floor Medical Centre",Mutare,,
Oakmed Pharmacy,121Nelson Mandela Avenue,Harare,,
Oakwood Pharmacy,Shop 7 Stand 21813 DurawallKatanga,Norton,,
Oakwood Pharmacy -Kuwadzana,"Shop 2, Sifra Complex, Stand 12248",Harare,,
Oasis Clinic,7-166 Chiedza CrescentNyameni,Marondera,,
Oasis Dental Surgery,Suite 107Desai Building 383 York Street,Chivhu,,
Oasis Family Surgery-Penhalonga,220TsvingwePenhalonga,Mutare,,
Oasis Medical Centre,Shop 16ATown Centre,Chitungwiza,,
Oasis Medical Centre,3287 Dulibadzimu,Beitbridge,,
Oasis Medical Centre,2 Divine Road,Harare,,
Oasis Medical Centre - D. Musemwa,Number 125 Nelson Mandela Avenue,Harare,,
Oasis Medical Centre - Gweru,No. 396th Street,Gweru,,
Oasis Medlink 24HR Medical Centre,26590A Eastview,Harare,,
Oasis Medlink Radiology,26590A Eastview,Harare,,
Oasis Pharmacy,"Shop 4, Valley Shops",Glendale,,
Oasis Polyclinic - Musami Cross,House Number 93Domborembudzi Business Centre,Murehwa,,
Oasis Surgery - Gweru,1 Lobengula Avenue,Gweru,,
Obsterics and Gynaecology Associates,44 Josiah Tongogara Avenue,Harare,,
Obstetrical & Gynaecological Surgery,Number 41 Kingsmead RoadBorrowdale,Harare,,
Obygyne Centre,113A Josiah Tongogara,Bulawayo,,
Ocare Pharmacy,1912Jerera,Masvingo,,
Occupational Therapy Clinic,18 Cleveland AvenueMilton Park,Harare,,
Ocean Dental Clinic,396th street,Gweru,,
Ocean Pharmacy,"4099 Chiposi Building, Machipisa Shopping Centre Highfields",Harare,,
Oceancare Evergreen Pharmacy,Stand 42 Chingaira Street,Rusape,,
Oceancare Tait Pharmacy,Stand 229Tait Avenue,Rusape,,
Odontoblast Inv - Domboshava Medclinic - Maternity Clinic,Mungate Business CentRE Ward 4,Domboshava,,
Odontoblast Investments P/L T/L Domboshava Medclinic,Mungate Business CenterTasarira Village,Domboshava,,
Odzi Family Clinic,Odzi Business CentreStand Number 2,Mutare,,
Odzi Pharmacy,Stand Number 5 Odzi Business CentreOdzi,Mutare,,
Odzi RDC-Chiwere Rural Health Center,Chiwere Rural Health CenterP.Box 109Odzi,Rusape,,
Odzi RDC-Gwindingwi Rural Health Center,Gwindingwi Rural Health CenterBox 76Odzi,Rusape,,
Odzi RDC-Mt Zuma Rural Health Center,Mt Zuma Rural Health CenterBox 64Odzi,Rusape,,
Odzi RDC-Nyagundi Rural Health Center,Nyagundi Rural Health CenterBox 62Odzi,Rusape,,
