facility name,physical address,city
Joint Pharmacy - Shurugwi,462 Hospital Road,Shurugwi
Joint Pharmacy Zvishavane,602 Turner Road,Zvishavane
Joint Pharmacy-Chegutu,16George Avenue Cbd,Chegutu
Jona & Nana Mlotshwa Clinic,Mayenzane Business Centre Box 135,Gwanda
Jonathan Kasule Surgery,"60 Baines Avenue, 4Th Floor Medical Chambers",Harare
Jordan Pharmacy,11643 Robert Mugabe Roaddzivarasekwa 2,Harare
Joshua Mqabuko Nkomo Ekusileni Hospital,Cnr Cecil Avenue / Old Esigodini Road,Bulawayo
Jotech Healthcare (Pvt) Ltd,146 Mbuya Nehanda Street,Harare
Joy Dae-Night Pharmacy,21 Robert Mugabe Way,Zvishavane
Joy Pharmacy - Robert Mugabe Zvishavane,1237 Industrial Sitedashley Complexmandava,Zvishavane
Joy Pharmacy-Bulawayo,54Jason Moyo Street And 4Th Avenue,Bulawayo
Joy Pharmacy-Zvishavane,82Rg Mugabe Way,Zvishavane
Joyful Heart Pharmacy,Stand No 805 A And 80858 George Silundika & 4Th Street,Harare
Jr Mart Pharmacy,Shop 5 3444 Hino Road Crowborough,Harare
Jr Mart Pharmacy,Shop 3Fraserton B/Cwhitecliff,Zvimba
Jrmart Pharmacy,Shop 310131 Fraserton B/Cwhitecliff,Zvimba
Jsk Pharmacy,186 Whitecliff,Zvimba
Jubilee Clinic,"Second Floor, Mership Housecorner 9Th Avenue/ Jmn Nkomo Street",Bulawayo
Jubilee Dental Surgery,Suite 52Nd Floor Mership Building,Bulawayo
Junction Medical Clinic,21794Unit Cseke,Chitungwiza
Junction Pharmacy,9573Glenview 2 Shopping Centreglenview,Harare
Junction Pharmacy- Arcadia,2A Bardia Road Arcadia,Harare
Junction Pharmacy- Mvurwi,Shop No. 5 Hotspot Complex,Mvurwi
Junction Pharmacy- Rushinga,1285 Rushinga Rsc,Rushinga
Junction Pharmacy-Mvurwi,945Shoguru,Mvurwi
Juru Pharmacy,Shop 31 Kunaka Shopping Complexjuru Growth Point,Juru
Juru Rdc- Bosha Rural Health Centre,Dzvete Wardbox 87,Juru
Juru Rdc- Mwanza Rural Health Centre,Mwanza Wardbox 86,Juru
Juru Surgery,660 Juru Growth Point,Juru
Justin Smith Chemist,82 L.Takawaira Ave,Bulawayo
Kach Dental Services,8 Milton Road,Kadoma
Kach Dental Services,"581 Charlse Street, Chegutu",Chegutu
Kach Dental Services,581 Charles Street,Chegutu
Kadoma Dental Services,Room 2 And 3 James Beattle Building,Kadoma
Kadoma General Hospital,Kaguvi Road,Kadoma
Kadoma Medical Centre,57 Mashonganyika Avenue,Kadoma
Kadoma Municipal Chemukute Clinic,Box 460Kadoma City Council,Kadoma
Kadoma Municipality - Rimuka Clinic,Kadoma City Council,Kadoma
Kadoma Municipality - Rimuka Maternity Home,Box 460 Kadoma City Council,Kadoma
Kadoma Municipality Waverley Clinic,P.0. Box 460,Kadoma
Kadoma Paper Mills Industrial Clinic,Stand Number 2541-44 Owi Mine Road Industrial Sites,Kadoma
Kadoma Physiotherapy Clinic,7 Milton Road,Kadoma
Kadoma Population Health Centre,Chitezi Roadrimuka,Kadoma
Kadoma Population Maternity Home,14973 Sarudzai Shopping Centre,Kadoma
Kadoma Rdc-Ngezi Rural Hospital,P.O.Box 540,Kadoma
Kadoma Rdc-Turf Polyclinic,Turf Clinicp.O.Box 1331Mamina,Kadoma
Kadoma Town Clinic,14 Colling Street,Kadoma
Kadoma X-Ray & Ultrasound Centre,7Milton Road,Kadoma
Kadzirange Surgery,60 Cork Roadavondale,Harare
Kaflate Pharmacy,"93 Jason Moyo, Travel Centre",Harare
Kaflate Pharmacy,Shop 5 Old Mutual Complex,Mhondoro Ngezi
Kahle Counselling Hub,92Samuel Parirenyatwa Streetcnr 9Th Avenue,Bulawayo
Kaiden Pharmacy,3768 Crowborough North,Harare
Kairos Pharmacy,12638 Kuwadzana Phase 3Kuwadzana,Harare
Kaizen Pharmacy,"Shop 2 Olympic Arcade, 34 Tembwe Street",Mutare
Kaizil Investments Pvt Ltd T/A Medtech Dental Surgery,127 Herbert Chitepo Street,Mutare
Kamativi Mission Hospital,Stand Number B702 Kamativi,Hwange
Kambuzuma Medical Clinic,1663 Section 5 Kambuzuma,Harare
Kambuzuma Medical Clinic,Stand 1663 Section 5,Harare
Kamfisa Pharmacy,Shop 6Athlone Shopping Centregreendale,Harare
Kana Mission Hospital,Kana Mission Hospitalbox 470,Gokwe
Kandawasvika G Q Surgery - Paediatric Clinic,37Baines Avenue,Harare
Kango Industrial Clinic,Plumtree Roadcorner Newport Streetbelmont,Bulawayo
Karanda Mission Hospital,Dahwa Villagechief Dotito,Mt Darwin
Kariba Municipality - Mahombekombe Clinic,P.O Box 130Municipality Of Kariba,Kariba
Kariba Municipality - Nyamhunga Clinic,P.O Box 130Municipality Of Kariba,Kariba
Kariba South Power Station- Ambulance Unit,1 Sable Drive Mahombekombe,Kariba
Karidza Surgery,Suite 3Citimed Hospital,Chitungwiza
Kariyangwe Mission Hospital,Kariyangwe Mission Hospitalp.O.Box 50,Binga
Karoi District Hospital Laboratory,Karoi District Hospital,Karoi
Karoi Medical Imaging Centre,39 Harris Street,Karoi
Karoi Pharmacy - Karoi,370 Bougainvillea Way,Karoi
Karoi Polyclinic,Std 250 Fred Jameson Street,Karoi
Karoi T/Council-Chikangwe Clinic,Box 225Chikangwe,Karoi
Karoi24 Private Clinic,Stand 1217 Chikangwe Township,Karoi
Katanga Central Imaging Centre,K2040Katanga,Norton
Katanga Central Surgery,K2040,Norton
Katanga Central Surgery,K2040 Katanga,Norton
Katanga Dental Surgery,2040,Norton
Katanga Utano Clinic,P.Bang 904,Norton
Kathy Harter Clinical Social Worker / Counseling + Care Management,7 Gilmour Drive Hogerty Hill,Harare
Katmed Pharmacy,254 Cloete Street,Chivhu
Kavitex Dental Surgery,No. 9 Samora Machel Avenue,Harare
Kayden Medical Centre,3A Mupani Road,Harare
Kayden Pharmacy,Number 1826 Old Marimba 39 Mupani Roadmufakose,Harare
Kayla Imaging Centre X-Ray Unit,563Murehwa Township,Murehwa
Kdb Healthcare Pvt Ltd,53 Coventry Roadworkington,Harare
Kei Laboratories,Suite 4 Mership House 89,Bulawayo
Kenlink Avicenna Pharmacy,127 Borrowdale Road Gunhill,Harare
Kenlink Pharmacy - Kensington,"Shop 13 & 14 Prince Edward Street, Kensington Shops",Harare
Kenlink Pharmacy Avondale,Shop C&D Avondale Shopping Centre,Harare
Kenlink Pharmacy Borrowdale,Shop 1 Sam Levy'S Towers Sam Levy Village,Harare
Kenlink Pharmacy-Greendale,119Coronation Avenuegreendale,Harare
Kenlink The Bridge Pharmacy,"Shop 10, The Bridge Shopping Centregroombridge",Harare
Kenn Dental Clinic,"Number 21, 15Th Avenue",Bulawayo
Kensington 24 Hour Medical Centre,1 Kenny Roadkensington,Harare
Kensington Dental Clinic,"Shop Number 17, Kensington Shopping Centre, Prince Edward Road",Harare
Kensington Dental Clinic,"17 Kensington Shops, Prince Edward Street",Harare
Kermich Dental Surgeries,53 Hofmeyer Street,Masvingo
Ketash Renal Centre,1926 Mainway Meadows Waterfalls,Harare
Kevjos Md T/A Med-Exec Surgery,First Floor Office 7David Mansion96,Bulawayo
Khaliq Pharmacy,"Shop 2, 155 Kwame Nkrumah Avenue",Harare
Khami Road Clinic - Byo City,Khami Road & Steel Works Road,Bulawayo
Kiddie Care Clinic,Suite 20First Floormedical Centre,Harare
Kilmanock Building Surgery,No.1 Kilmanock Building 11Th Avenue/Fife Street,Bulawayo
Kindfort Ultrasound Scan Centre,No. 88 Tongogara Streetshamrock House,Bulawayo
Kindfort X-Ray Centre,87 J.Tongogara Streetesihlengweni Medical Chambersbetween 9Th &9Th Avenue,Bulawayo
Kindheart Pharmacy,65Sadza Growth Point,Chivhu
King George Pharmacy,32 Cork Road,Harare
King Street Surgery,"148 King Street, Gwanda",Gwanda
Kings Pharmacy,23 6Th Avemain Street,Bulawayo
Kings Pharmacy 9Th Avenue,21 9Th Avejason Moyo,Bulawayo
Kings Pharmacy Herbert Chitepo,79 Hebert Chitepo / 6Th Avenue,Bulawayo
Kings Pharmacy-Jason Moyo,Shop 4Old Mutual Centrecnr Jason Moyo / 8Th Avenue,Bulawayo
Kings Poly Clinic & Maternity Home,144 Herbert Chitepo St,Bulawayo
Kingsmead Physiotherapy & Rehabilitation Centre,"56A Kingsmead Road, East Borrowdale",Harare
Kingsmed Dental Surgery,423 Malvern Shopswaterfalls,Harare
Kingsmed Dental Surgery,41 Vanpraaghmilton Park,Harare
Kingsmed Pharmacy,133 Tollgate Mall,Gokwe
Kingsway Clinic-Dr Jaravaza,115Fife Avenue3/Rd Street,Harare
Kirkman Family Health,11881 Tynwald Homelinkmabelreign,Harare
Kjellson Medical And Maternity Centre,9435 8Th Roadglenview 1 Home Industryglenview,Harare
Klarity Medical Laboratories,136 Harare Street,Harare
Klarity Radiology,136 Harare Street,Harare
Klenscare Surgery,60Ajosiah Tongogara Streetbetween 4Th & 5Th Avenue,Bulawayo
Klosad Clinical Diagnostics Laboratory,20 Lanark Road Belgravia,Harare
Klosad Medical Clinic,20Larnak Roadbelgravia,Harare
Kmd Medical Centre,604Beema Roadgoodhope,Harare
Kmd Medical Centre,604 Beema Road,Harare
Knight Avenue Medical Centre & Maternity,9 Henry Hartley Avenue,Chegutu
Kopje 24 Hour Clinic,6969 Target Kopje Street,Masvingo
Kopje Physiotherapy Clinic,3915Impali Park,Shurugwi
Kopje Specialist Group,The Midlands Private Hospital8766 Gymkhana Groundsjosiah Tongogara Avenue,Gweru
Kotwa District Hospital,Stand No.335District Hospital,Kotwa
Kotwa Family Clinic,Stand Number 2132Kotwa Growth Point,Kotwa
Kotwa Nursing Surgery,Stand 773Kotwa Growth Point,Mudzi
Kotwa Pharmacy,2132 Kotwa Growth Point,Growth Point
Kubatana Health Centre,Shop 10Murewa Council Complex,Murehwa
Kubatana Hutano Hwemhuri Clinic,Stand Number 346 Brickforce Complex,Murewa
Kubatana Utano Hwemhuri Clinic,Stand 2643Murewa Business Centre,Murewa
Kudzanai Pharmacy,68 3Rd Street,Gweru
Kudzanai Second Street Dental Surgery,"Shop 2 1St Floor East Wingold Buildings, Number 66 Second Mall",Gweru
Kuhn Medics Ambulance Service,Chegutu Medical Centre & Nursing Home6 Wise Drive,Chegutu
Kukue Health Centre Pvt Ltd,"58 Ascot Road, Avondale",Harare
Kumbawa Periodontics Dental Implants & Oral Medicine,52Borrowdale Roadborrowdale,Harare
Kunashe Medical Centre,4169 Glen View 1 (First Floor),Harare
Kundicare Occupational Therapy Clinic,40 Josiah Tongogara Ave,Harare
Kupona Pharmacy,19 Seke Roadhatfield,Harare
Kurai Medical Surgery,19324Zengeza 4,Chitungwiza
Kuru Medical,1272 Sunway City Ventersburg,Harare
Kushinga Clinic (Pvt) Ltd,Chasara Complex Domborembudzi Business Centre,Murehwa
Kutenda Pharmacy,6724 Mupamombe Road Rimuka,Kadoma
Kutenda Pharmacy-Kadoma,14790 Sarudzai Shopping Centre Rimuka,Kadoma
Kutenda Surgery,Stand No. 36741 Crescent Kuwadzana 1,Harare
Kutsaga Industrial Clinic,1909 Airport Ring Road,Harare
Kuwadzana Medical Centre,8162 Kuwadzana 4 Shopping Centre,Harare
Kuwadzana Pharmacy,"Stand 8193, Kuwadzana 5 Shopping Centre",Harare
Kuwadzana Surgery,Kuwadzana 5 Shopping Centrestand 10490,Harare
Kwekwe Obstetrics & Gynaecology Clinic,"Number 4487, Corner R.G. Mugabe Way / Westview Street",Kwekwe
L. Madzima Ultrasound Scanning Services,Number 27Th Street,Gweru
Lab Partners Clinical Laboratories,Suite 6 Westend Clinic Extension,Harare
Lab Partners Clinical Laboratory,18 East Roadbelgravia,Harare
Lab Partners Clinical Laboratory - Centre Branch,6Deary Roadbelgravia,Harare
Labby Investiments T/A Cameron Pharmacy,Shop 10Zimre Centrecnr N. Mandela/ L Takwira,Harare
Labnet Laboratory (Pvt)Ltd,"Suite 204 Bulawayo Centre2Nd Floor,Grand Hotel",Bulawayo
Labonetics Medical Laboratory,26 Baines Avenue,Harare
Labplus Diagnostics Liaboraties,10 Fife Avenue,Harare
Labwise Diagnostic Laboratory,10667 Block Cground Floorsmatsatsa Office Park,Harare
Labwise Medical Centre,"Smatsatsa Office Park ,10667 Block C Ground Floor Borrowdale Roadborrowdale",Harare
Lactus Pharmacy,"Stand Number 139, Kotwa Growth Point",Mudzi
Lael Hearing Centre,27 Baines Avenue,Harare
Lafarge Ambulance Services,1-2 Manresa Works Arcturus Road,Harare
Laina Clinic -Ruwa,Stand No. 26681Tarisa Park Ruwa,Ruwa
Lakefield Pharmacy,Number41 Lobengula Street,Gweru
Lakshmi Dental Surgery,33 Ed Mnangagwa Street,Gweru
Lamas Diagnostic Centre,265 Commercial Street,Chinhoyi
Lanark Dental Surgery,"18 Lanark Road, Belgravia",Harare
Lanark Industrial Clinic,Lanark Farm P.O Box 815,Harare
Lancet Clinica Laboratories - Chinhoyi,Stand Number 263West Road,Chinhoyi
Lancet Clinical Laboraties - Gweru Lobengula Avenue,1 Lobengula Avenue,Gweru
Lancet Clinical Laboratories,The Health Bridge 95 West Drive,Victoria Falls
Lancet Clinical Laboratories - Avondale St Annes,215 King George Road,Harare
Lancet Clinical Laboratories - Baines Avenue,55 Baines Avenuecnr Baines & Leopold Takawira,Harare
Lancet Clinical Laboratories - Belgravia,15 Lanark Roadbelgravia,Harare
Lancet Clinical Laboratories - Bindura,1837Atherston Road,Bindura
Lancet Clinical Laboratories - Blakiston,22 Fife Avenue Cnr Blakiston & Fife Avenue,Harare
Lancet Clinical Laboratories - Borrowdale Post Office,Borrowdale Post Office,Harare
Lancet Clinical Laboratories - Borrowdale Race Course,Borrowdale Race Course,Harare
Lancet Clinical Laboratories - Boscobel,1 Boscobel Driveeast Road,Harare
Lancet Clinical Laboratories - Bulawayo,Suite 5005Th Floor Haylet House,Bulawayo
Lancet Clinical Laboratories - Bulawayo Airport,Joshua Nkomo International Airport,Bulawayo
Lancet Clinical Laboratories - Dandaro,1 Wenham Close,Harare
Lancet Clinical Laboratories - Gweru,1 Lobengula Avenue,Gweru
Lancet Clinical Laboratories - Gweru Gymkhana Grounds,8766 Gymkhana Grounds,Gweru
Lancet Clinical Laboratories - Kays Mall Chinhoyi,Number 5 & 6 Kays Mall 264 Commercial Street,Chinhoyi
Lancet Clinical Laboratories - Kwekwe,73 Kwekwe Township,Kwekwe
Lancet Clinical Laboratories - Machipisa,Stand 422463Rd Street Machipisa Highfield,Harare
Lancet Clinical Laboratories - Marondera,Borradaile Hospital,Marondera
Lancet Clinical Laboratories - Masvingo,38 Hofmeyer Street,Masvingo
Lancet Clinical Laboratories - Post Office Gweru,Main Post Officecaipf Building Cnr 7Th & Robert Mugabe,Gweru
Lancet Clinical Laboratories - R.G Mugabe International Airport,R.G Mugabe International Airport,Harare
Lancet Clinical Laboratories - Victoria Falls,Victoria Falls International Airport 8A,Victoria Falls
Lancet Clinical Laboratories - West End,13 Baines Avenue Cnr Baines & Harare Street,Harare
Lancet Clinical Laboratories Chitungwiza,Stand 19328,Chitungwiza
Lancet Clinical Laboratories Southerton Post Office,Southerton Post Office,Harare
Lancet Clinical Laboratories-Mutare,123-125 Herbert Chitepo Street,Mutare
Lancet Clinical Laboratory - Kadoma,14 Colling Street,Kadoma
Lancet Clinical Laboratory- Avicenna Medical Centre,127 Ruth Taylor Roadborrowdale,Harare
Lancet Clinical Laboratory- Zvishavane,"Shop 19 & 20, 213 Kandodo",Zvishavane
Lancet Medical Laboratories - Chiredzi,25 Lion Drivetshovani,Chiredzi
Langcon Memorial Medical Centre,15 Norwich Avenue Eastlea,Harare
Langcon Opmetrists Private Limited,15 Norwich Avenue Eastlea,Harare
Langcon Pathology Laboratory,15 Norwich Avenue Eastlea,Harare
Langcon Pharmacy,15 Norwich Roadeastlea,Harare
Laranok Pharmaceuticals- Masvingo,537 Nemamwa Growth Point,Masvingo
Laranok Pharmacy-Mashava,178Main Mashava,Masvingo
Lc Pharmacy,"Shop 17 Market Centre, Robert Mugabe Street",Masvingo
Leecare Pharmacy,920 Cameroon Square,Kadoma
Leedan Medical Clinic,5898 Southviewfidelity Park,Harare
Lee-Ray Pharmacy,4413Kushanda Cresentbudiriro 2,Harare
Lees Pharmacy,419 Malvern Shopszindogawaterfalls,Harare
Lees Pharmacy,"419 Malvern Township, Zindoga Shops",Harare
Legacy Eye Care,7 Milton Roadmilton Medical Centre,Kadoma
Legacy Pharmacy,Stand 36 Shop 1 Southlea Park,Harare
Legacy Pharmacy,Stand 24211 Umvovokaguvi Phase 2,Chegutu
Legalodi Ophthalmic Practise,101 Josiah Chinamano,Harare
Legend Pharmacy - Marondera,199A Main Street,Marondera
Legend Pharmacy Milton Park,102 Prince Edward,Harare
Lemon'S Pharmacy,"Shop Number 4, Sammar Galleryavondale",Harare
Lenap Pharmacy,"Stand 4950, Wonder Shopping Complex, 15 Julius Nyerere Way",Harare
Lenchie Polyclinic,Stand No. 1225Chikangwe Township,Karoi
Lendum Investment Surgery,"Number 17, 6Th Street",Gweru
Leocare Pharmacy,5234621 George Silundika Avenue,Harare
Leona Clinic,Vulindlela Villagekachete Ward 3Hwange Rural District,Hwange
Leonard Cheshire Orthopaedic Centre,188 Westwood Drivekambuzuma,Harare
Leopold Takawira Pharmacy,"Shop Number 6, 109 Leopold Takawira Street",Harare
Lesedi Polyclinic,Intabayengwe Village Sizinda Monde,Victoria Falls
Letombo Park Surgery,81 Wajetsi Wayletombo Park,Harare
Levatio Obsgynae,15 Baines Avenue,Harare
Levchem Pharmaceuticals,Unit 20Madokero Business Hubmadokera,Harare
Leven Clinical Laboratory,260 Commercial Street,Chinhoyi
Liberty Pharmacy,322-45 6Th Street,Gweru
Lid Medical Laboratory Services - Rusape,62 Chimoto Street,Rusape
Life Care Ambulance Services,1074 Masotcha Ndlovu/6Th Avenuewaterfalls,Harare
Life Care Laboratory,4Cleveland Avenuemilton Park,Harare
Life Clinic - Mhangura,147Th Street,Mhangura
Life Diagnostics Services,24 Greenfield Street,Masvingo
Life Help Pharmacy,4138Airstrip,Gokwe
Life Ministry Mobile Clinic,"15 Dorset Road, East Avondale",Harare
Life Pharmacy - Arcadia,Shop No 110 Stuhardt Placearcadia,Harare
Life Sciences Laboratory,130Herbert Chitepo Avenue,Harare
Lifecare 24 Pharmacy,1074 Masotsha Ndlovu Way,Waterfalls
Lifecare Pediatrics,4Clevelandmilton Park,Harare
Lifecare Pharmacy,Shop 12 Robert Mugabe Street,Rusape
Lifecare Pharmacy,22/23 Robert Mugabe Street,Rusape
Lifecare Pharmacy,Shop 1Cabs House,Kwekwe
Lifecare Pharmacy Evergreen Rusape,Shop 37 H. Chitepo Street,Rusape
Lifecheck Pharmacy,"Stand 3573, Glen View 4, Shopping Centre",Harare
Lifelink Emergency Rescue Services,84 Hindhead Avenuechisipite,Harare
Lifemed Pharmacy,Stand Number 221 Mandicheche,Murewa
Lifenity Medical Laboratory,29 Mazowe Street,Harare
Lifeplus Pharmacy- Glendale,"4, 82Nd Streetsunridge",Harare
Lifeplus Pharmacy- Glendale,Q 36 Glendale Smes,Glendale
Lifespring Medical Laboratory,6 Collin Street,Kadoma
Lifezest Pharmacy - Chiredzi,3631 Lion Drive,Chiredzi
Lighthouse Clinic-Kariba,1287 Nyamhunga 3,Kariba
Lighthouse Opticians-Gweru,Shop 11First Mutual Building Centrerobert Mugabe Way,Gweru
Lilian Jena Psychologist - Psychology Unit,81 Sealous Avenue,Harare
Lime 6Th Avenue Pharmacy,336Th Avenue,Bulawayo
Link Opticians,361 Mopani Drive,Chiredzi
Link Opticians,16 Greendale Avenuegreendale,Harare
Link Opticians,Shop 15 & 16 Robinson House Corner Kwame & Angwa,Harare
Link Opticians - Leopold Takawira,110 Leopold Takawira Street,Harare
Link Opticians Pvt Ltd,156 Prince Edward Roadkensington,Harare
Link Opticians-Chipinge,98Moodie Street,Chipinge
Link Pharmacy - Chadcombe,"Shop Number 6, Chadcombe Shopping Centre",Harare
Link Pharmacy - Queensdale,"Shop Number 2, Queensdale Shopping Centre, Shaftsburry Road",Harare
Linmove Investment(Pvt)Ltd,26Robert Mugabe Waynorthend,Bulawayo
Lions' Den Surgery,House No. 813Murerekalions Den,Chinhoyi
Lionsden Family Clinic,Stand Number F415 Murerekalionsden,Chinhoyi
Lionsden Surgery,Number 813 Nkomolionsden,Chinhoyi
Little Flower Poly Clinic,2187Off Chishawasha Township Chishawasha Acturus Road,Harare
Little People Paediatric Clinic,60 Livingstone Avenue,Harare
Living Waters Pharmacy,67Living Waters Complex,Beitbridge
Locaney Pharmacy,377Main Street,Chivhu
Locaney Pharmacy,14428A Clyde Rd Shop 2 Chenai Building,Harare
Locus Medicus Family Practice,379 Stortford Parade,Harare
Locus Medicus Family Practice-Mabelreign,379 Stortford Parade,Harare
Lomagudi 24 Medical,166Gilchrist Drivewestgate,Harare
Lomagundi Dental Surgery,Number 166Gilchrist Drivemarlborough,Harare
Lomagundi Pharmacy,11 Magamba Way,Chinhoyi
Lonebright Diagnostics(Pvt) Ltd,K2115 Katanga,Norton
Long Meter Centre Radiology,82Metropolitan Cliniccnr 6Th Street & George Silundika Avenue,Harare
Long Range Pharmacy-Granetside,Shop 3Kelvin Cornergraniteside,Harare
Longrange Pharmacies-Mbare,20067Ardbennie Roadmbare,Harare
Longrange Pharmacy- Shawasha Hills,Shop No. 2 Stand No. 1022 Gletwyn Roadshawasha Hills Shopping Mall,Harare
Longrange Pharmacy-Acadia,2Abardia Roadacadia,Harare
Lord'S Land Pharmacy,584 Prince Street,Zvishavane
Lordsland General & Occupational Health Practice,58A George Silundika Avenue,Harare
Lordsland Imaging,584 Prince Street,Zvishavane
Lordsland Medical Centre,584 Prince Street,Zvishavane
Lordsland Medical Laboratories,584 Prince Street,Zvishavane
Lordsland Medical Laboratories,258 Adam Stander Road,Victoria Falls
Lordsland Occupational Health Unit,584 Prince Street,Zvishavane
Lorem Pharmacy,164 Birchnough Bridge,Birchenough Bridge
Loreta Family Clinic,Loreta Business Centresilobela,Kwekwe
Lospen Farm Vct,23Km Peg Lomagundi Roadstapleford,Harare
Lospen Farming Clinic,23Km Peg Lomagundi Roadstapleford,Harare
Lot 4 Medical Center,3879Mandava Township,Zvishavane
Lot 4 Pharmacy,3879Mandava Township,Zvishavane
Lovelet C Pharmacy,Shop No.2Stand 21794Unit G,Chitungwiza
Lowveld Intercare Consulting Rooms,253 Chida Road,Chiredzi
Lowveld Intercare Consulting Rooms,D8408 Chiredzi Cbd,Chiredzi
Lucky Cee Medical Clinic,"Shop Number 2, Phumulani Complex Cnr Soudan & Bigben Road",Gwanda
Luisa Guidotti Hospital,Chabvuta Village Ward 16,Mutoko
Lulu Pharmacy,342 Engineering Highfield,Harare
Luminous Obstetrics Gynaecology,40 Josiah Tongogara Avenue,Harare
Lunar Dental Clinic,7Verdi Lanestrathaven,Harare
Lundi Medical Centre,Stand 185 Lundi Business Centremwenezi,Masvingo
Lundi Mission Clinic,Lundi Mission Clinicp.Bag 9030,Masvingo
Lupane Private Medical Centre,"Stand 113 Lupane, P.O. Box 144",Lupane
Lupane Rdc-Dandanda Rhc,C/O Box 22,Lupane
Lupane Rdc-Gomoza Rhc,C/O Box 22,Lupane
Lupane Rdc-Kanyandavu Rhc,C/O Box 22,Lupane
Lupane Rdc-Lupane Rhc,C/O Box 22,Lupane
Lupane State University Clinic,Along Bulawayo-Victoria Falls Road,Lupane
Lutsha Rural Health Centre,Nkayi Districtmatebeland North,Bulawayo
Luveve Clinic,Luveve Township,Bulawayo
Luveve Private Clinic,9826 Luveve 4,Bulawayo
Luveve Private Clinic Laboratory,9826 Luveve 4,Bulawayo
Luyando Clinic,Shop 10 Nssa Commercial Centre,Bindura
Lydish Pharmacy,283 Murombedzi Growth Point,Zvimba
Lynfield Pharmaceuticals - Mutare,25 H. Chitepo Street,Mutare
M & B Clinic,8722Gazaland Shopshighfield,Harare
M & C Surgery,7A Bwn R. Mugabe 'N' J. Tongogara,Bulawayo
M & G Surgical Partners,Suite 3023Rd Floorhaylet House,Bulawayo
M And M Surgery,85 Josiah Tongogara Avenue,Bulawayo
M- Five Dental Surgery,19324 Zengeza 4,Chitungwiza
M&M Friendlycare Pharmacy,53 H. Chitepo Streetbetween 3Rd Avenue / 4Th Avenue,Bulawayo
Maatla Physiotherapy And Mining Injuries Clinic,Stand Number 9785 Phakama,Gwanda
Mabelreign 24Hr Medical Centre & Maternity Hospital,Number 11St Avenue Mabelreign,Harare
Mabelreign Dental Clinic,"Stand 394, Stortford Parademabelreign",Harare
Maboleni Clinic,Umguza Rural District Councilmaboleni Village Ward 18,Bulawayo
Mabvazuva Pharmacy,2788 Mabvazuva Infill,Rusape
Mabvazuva Polyclinic,2801Mabvazuva,Rusape
Mabvuku Pharmacy,"Shop 2 Stand 100, Murapa Building New Mabvuku",Harare
Macdent Dental Surgery,760C Chenjerai Hunzvi Road,Bindura
Macheke Pharmacy,83Loop Road,Macheke
Macheke Surgery,Stand Number C744,Macheke
Machipisa Eye Centre,995 Main Street Machipisa,Harare
Machiridza And Nyamuka Surgery,"Suite 4, Westend Clinic Extension, 7 Baines Avenue",Harare
Machiridza Surgrey,7 Baines Ave,Harare
Machoko Simbarashe Physiotherapy,93 J. Tongogara Avenue,Bulawayo
Macingwana Church Of Christ Clinic,Macingwana Busiess Center,Plumtree
Macintosh & Musa Physiotherapy,Chestnut House128Aj. Tongogara Street,Bulawayo
Macjay Pharmacy,77 Murisa Shopping Centredema,Chitungwiza
Macmed Pharmacy,8131 Kuwadzana 1 Shops Kuwadzana,Harare
Madokero Medical Centre,12992 Madokero Centre,Harare
Madokero Radiology,"12988 Madokero Estate, Tynwald",Harare
Madondoro K. Surgery,2 Baines Avenue,Harare
Madzimbe & Tsiga Physiotherapy Clinic,7A-9Th Avenue,Bulawayo
Maereka Dental Clinic,224 Herbert Chitepo,Harare
Mafuyana Medical Centre,496 J. Mafuyana,Maphisa
Mag Health Group Dental Surgery,"151 Duthie Road, Belgravia",Harare
Magaba Pharmacy,Shop 4 Roddens Plot Magaba Mbare,Harare
Magamba Medical Centre,3777 Magamba Extensionmagamba,Rusape
Magava A Surgery,110 Fort Street,Bulawayo
Magran House,86As. Parirenyatwa Street,Bulawayo
Magunje Pharmacy,265Ndambakuwa Complexmagunje,Karoi
Magwegwe Clinic,Magwegwe Township,Bulawayo
Maha Surgery,428 Chihombe Roadmaha Complex,Ruwa
Mahatshula Clinic,1051 Mahatshulamahatshula,Bulawayo
Mahatshula Medical Centre,496 Mahatshula North Bulawayo,Bulawayo
Mahlatini Regedzai Dental Surgery,3 School Avenue,Gweru
Maiden Surgery,Shop 4 Crowborough Phase 2 Complex,Harare
Maimba Surgery,13Shuvai Mahofa Street,Masvingo
Main Street Surgery,1 Main Court53 Main Street/4Th Avenue,Bulawayo
Mainmed Services Pvt Ltd T/A Diagnostic Heart Centre,6Josiah Tongogara Avenue,Harare
Mainstreet Pharmacy,"4225 Mainstreet, Machipisa",Harare
Mainstreet Pharmacy Leopold Takawira,124 Leopold Takawira Street,Harare
Mainstreet Pharmacy Parktown Branch,Shop 7Mersey Building Parktownwaterfalls,Harare
Maiscure Health Laboratory,"Suite 6 Ground Floor, Belvedere Squarebelvedere",Harare
Major Pharmacy,"35 Hughes Street, Kubatana Centre",Masvingo
Makanaka Family Care Medical Centre,36 Grey Street,Chegutu
Makanaka Pharmacy,22 Inc Wadzanai,Shamva
Makomborero Clinic,407Mupandawana,Gutu
Makonde Christian Hospital,Stand No. 235Afirst Avenue,Mhangura
Makoni 24 Hour Medical Centre,19667 Unit Gseke,Chitungwiza
Makoni 24 Hour Medical Centre,19667,Seke
